root,c_pos
hips,root.x
spine,spine_01.x
chest,spine_02.x
neck,neck.x
head,head.x
shoulder.L,shoulder.l
upper_arm.L,arm_stretch.l
lower_arm.L,forearm_stretch.l
hand.L,hand.l
thumb_proximal.L,thumb1.l
thumb_intermediate.L,thumb1.l
thumb_distal.L,thumb1.l
index_proximal.L,index1.l
index_intermediate.L,index1.l
index_distal.L,index1.l
middle_proximal.L,middle1.l
middle_intermediate.L,middle1.l
middle_distal.L,middle1.l
ring_proximal.L,ring1.l
ring_intermediate.L,ring1.l
ring_distal.L,ring1.l
little_proximal.L,pinky1.l
little_intermediate.L,pinky1.l
little_distal.L,pinky1.l
shoulder.R,shoulder.r
upper_arm.R,arm_stretch.r
lower_arm.R,forearm_stretch.r
hand.R,hand.r
thumb_proximal.R,thumb1.r
thumb_intermediate.R,thumb1.r
thumb_distal.R,thumb1.r
index_proximal.R,index1.r
index_intermediate.R,index1.r
index_distal.R,index1.r
middle_proximal.R,middle1.r
middle_intermediate.R,middle1.r
middle_distal.R,middle1.r
ring_proximal.R,ring1.r
ring_intermediate.R,ring1.r
ring_distal.R,ring1.r
little_proximal.R,pinky1.r
little_intermediate.R,pinky1.r
little_distal.R,pinky1.r
upper_leg.L,thigh_stretch.l.
lower_leg.L,leg_stretch.l.
foot.L,foot.l
toes.L,toes_01.l
upper_leg.R,thigh_stretch.r
lower_leg.R,leg_stretch.r
foot.R,foot.r
toes.R,toes_01.r
lower_arm_twist_01.L,forearm_twist.l
lower_arm_twist_01.R,forearm_twist.r
lower_leg_twist_01.L,leg_twist.l
lower_leg_twist_01.R,leg_twist.r
