standard,name,role,region,side,semantic,canonical,context,tags,note
ARKIT,browInnerUp,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,browDownLeft,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,browDownRight,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,browOuterUpLeft,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,browOuterUpRight,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,eyeLookUpLeft,TEMPLATE,EYE,LEFT,EYE_GAZE,eye.look_up.left,,,
ARKIT,eyeLookUpRight,TEMPLATE,EYE,RIGHT,EYE_GAZE,eye.look_up.right,,,
ARKIT,eyeLookDownLeft,TEMPLATE,EYE,LEFT,EYE_GAZE,eye.look_down.left,,,
ARKIT,eyeLookDownRight,TEMPLATE,EYE,RIGHT,EYE_GAZE,eye.look_down.right,,,
ARKIT,eyeLookInLeft,TEMPLATE,EYE,LEFT,EYE_GAZE,eye.look_in.left,,,
ARKIT,eyeLookInRight,TEMPLATE,EYE,RIGHT,EYE_GAZE,eye.look_in.right,,,
ARKIT,eyeLookOutLeft,TEMPLATE,EYE,LEFT,EYE_GAZE,eye.look_out.left,,,
ARKIT,eyeLookOutRight,TEMPLATE,EYE,RIGHT,EYE_GAZE,eye.look_out.right,,,
ARKIT,eyeBlinkLeft,TEMPLATE,EYE,LEFT,EYELID,eye.closed.left,,,
ARKIT,eyeBlinkRight,TEMPLATE,EYE,RIGHT,EYELID,eye.closed.right,,,
ARKIT,eyeSquintLeft,TEMPLATE,EYE,LEFT,EYELID,eye.squint.left,,,
ARKIT,eyeSquintRight,TEMPLATE,EYE,RIGHT,EYELID,eye.squint.right,,,
ARKIT,eyeWideLeft,TEMPLATE,EYE,LEFT,EYELID,eye.wide.left,,,
ARKIT,eyeWideRight,TEMPLATE,EYE,RIGHT,EYELID,eye.wide.right,,,
ARKIT,cheekPuff,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,cheekSquintLeft,TEMPLATE,EYE,LEFT,EYE_ORBIT,,,,
ARKIT,cheekSquintRight,TEMPLATE,EYE,RIGHT,EYE_ORBIT,,,,
ARKIT,noseSneerLeft,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,noseSneerRight,TEMPLATE,OTHER,NONE,OTHER,,,,
ARKIT,jawOpen,TEMPLATE,MOUTH,NONE,MOUTH,,,,
